title,artist,mood,genre,energy,activity
Good Days,SZA,calm,"pop,rnb",low,chill
DIe for You,The Weeknd,romantic,"pop,rnb",low,relaxing
Lush Life,Zara Larsson,energetic,pop,high,party
The Way,Ariana Grande,happy,rnb,medium,chill
Sunflower,Post Malone,happy,pop,medium,chill
Love Me Not,Ravyn Lenae,romantic,rnb,medium,driving
You Rock My World,Micheal Jackson,happy,pop,medium,driving
Lost in Japan,Shawn Mendes,romantic,pop,medium,chill
Can I Call You Tonight,Dayglow,happy,pop,medium,relaxing
Everybody Talks,Neon Trees,happy,rock,high,driving
Feel So Close,Calvin Harris,energetic,pop,high,party
One Dance,Drake,happy,rnb,high,party
Latch,"""Disclosure ft. Sam Smith""",happy,pop,medium,party
Can't Feel My Face,The Weeknd,happy,pop,medium,party
Let Me Love You,Justin Bieber,happy,pop,medium,driving
Unforgettable,"""French Montana ft. Swae Lee""",happy,rap,medium,party
Time of Our Lives,"""Pitbull, Ne-Yo""",happy,pop,high,party
OMG,"""Usher ft. will.i.am""",energetic,pop,high,party
Mr. Brightside,The Killers,energetic,rock,high,party
No Role Modelz,J Cole,happy,rap,medium,driving
Falling Behind,Laufey,nostalgic,indie,low,relaxing
505,Arctic Monkeys,nostalgic,rock,low,chill
Space Song,Beach House,nostalgic,indie,low,studying
Always Forever,Cults,romantic,indie,low,relaxing
Mrs Magic,Strawberry Guy,nostalgic,indie,low,relaxing
Welcome and Goodbye,"""Dream, Ivory""",nostalgic,indie,low,relaxing
Where'd All the Time Go?,"""Dr. Dog""",nostalgic,rock,low,relaxing
Telephones,Vacations,nostalgic,indie,low,relaxing
My Kind of Woman,Mac DeMarco,romantic,indie,low,relaxing
Yellow,Coldplay,sad,rock,low,relaxing
ARE WE STILL FRIENDS?,"""Tyler, The Creator""",sad,rnb,low,chill
Sunsetz,Cigarettes After Sex,sad,indie,low,relaxing
Show Me How,Men I Trust,calm ,indie,low,relaxing
What Would I Do? ,Strawberry Guy,nostalgic,indid,low,relaxing
Silver Soul,Beach House,sad,indie,low,relaxing
I Know You,Faye Webster,sad,rock,low,relaxing
Wildflower,Billie Eilish,sad,pop,low,relaxing
What Was I Made For?,Billie Eilish,sad,pop,low,relaxing
Like Him,"""Tyler, The Creator""",nostalgic,rap,medium,relaxing
Hold Me Down,Daniel Caesar,calm,rnb,low,relaxing
ghostin,Ariana Grande,sad,rnb,low,relaxing
What You Heard,Sonder,calm,rnb,low,relaxing
Solo,Clara La San,calm,rnb,medium,chill
Cherish the Day,Sade,calm,rnb,medium,relaxing
Self Control,Frank Ocean,sad,rnb,low,relaxing
"""It's Just Us""",Kali Uchis,romantic,rnb,medium,chill
Sativa,"""Jhené Aiko, Swae Lee""",calm,rnb,medium,relaxing
Thinkin Bout You,Frank Ocean,calm,pop,medium,chill
